월,순위,타이틀,가수
3,17,오늘도 그대만 (Feat. 정동원),T.P RETRO (타디스 프로젝트舊)
3,18,스토커,10CM
3,19,나의 사춘기에게,볼빨간사춘기
3,20,She (Hidden Track No.V 1월 선정곡),잔나비
3,21,매트리스,10CM
3,22,니가 보고싶은 밤,윤딴딴
3,23,썸 탈꺼야,볼빨간사춘기
3,24,우주를 줄게,볼빨간사춘기
3,25,아름다워,창모 (CHANGMO)
3,26,남이 될 수 있을까,"볼빨간사춘기, 스무살"
3,27,나만 안되는 연애,볼빨간사춘기
3,28,겨울을 걷는다,윤딴딴
3,29,오늘,오왠 (O.WHEN)
3,30,비행운,문문 (MoonMoon)
3,31,TOMBOY,혁오 (HYUKOH)
3,32,#첫사랑,볼빨간사춘기
3,33,Storage (with Galaxy Fan),10CM
3,34,안아줘,정준일
3,35,홍연,안예은
3,36,그대가 살아서,정동원
3,37,마에스트로 (Maestro),창모 (CHANGMO)
3,38,남은 기억,윤딴딴
3,39,심술,볼빨간사춘기
3,40,뻔한 발라드,피아노맨
3,41,Blue,볼빨간사춘기
3,42,욕심,멜로망스
3,43,프리지아,볼빨간사춘기
3,44,사랑은 은하수 다방에서,10CM
3,45,오래된 노래,스탠딩 에그
3,46,She is,"오반, 숀 (SHAUN)"
3,47,아이야 (Feat. Beenzino),창모 (CHANGMO)
3,48,Wu,나플라 (nafla)
3,49,처음 만날때처럼,잔나비
3,50,하염없이 (Feat. 정동원),"T.P RETRO (타디스 프로젝트舊), 학선"
3,51,You(=I),볼빨간사춘기
3,52,어떻게 잘 지내,네이브로
3,53,Downtown Baby,블루 (BLOO)
3,54,투게더!,잔나비
3,55,꿈과 책과 힘과 벽,잔나비
3,56,"그대와 나, 설레임 (Feat. 소울맨)",어쿠스틱 콜라보
3,57,고백,정준일
3,58,좋아해 (bye),CHEEZE (치즈)
3,59,위잉위잉,혁오 (HYUKOH)
3,60,널 생각해,원 모어 찬스 (one more chance)
3,61,어떻게 생각해,CHEEZE (치즈)
3,62,사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,잔나비
3,63,조이풀 조이풀,잔나비
3,64,눈송이,"오반, 빈첸"
3,65,퇴근,"오반, 숀 (SHAUN)"
3,66,사랑한다는 말로는,피아노맨
3,67,전설,잔나비
3,68,Little Star,스탠딩 에그
3,69,미지근한 밤,오왠 (O.WHEN)
3,70,November Rain,잔나비
3,71,오빠야,신현희와김루트
3,72,우리집을 못 찾겠군요 (Feat. 볼빨간사춘기),매드클라운
3,73,거울,잔나비
3,74,우리 애는요,잔나비
3,75,바라봐줘요,죠지
3,76,별 보러 가자,적재
3,77,가끔 미치도록 네가 안고 싶어질 때가 있어,가을방학
3,78,무지개 (Feat. 윤닭 Of 오브로젝트),스탠딩 에그
3,79,DOLMARO,잔나비
3,80,Mood Indigo,CHEEZE (치즈)
3,81,Lonely,볼빨간사춘기
3,82,나랑 아니면,검정치마
3,83,부끄럼,멜로망스
3,84,고백,뜨거운 감자
3,85,혜화동 거리에서,피아노맨
3,86,섬 (Queen of Diamonds),검정치마
3,87,pet,10CM
3,88,하고 싶은 말 (Feat. 한올),어쿠루브
3,89,신나는 잠,잔나비
3,90,The Time Goes On,BewhY (비와이)
3,91,Picnic,오왠 (O.WHEN)
3,92,쓰담쓰담,10CM
3,93,싸운날,볼빨간사춘기
3,94,Memory (Feat. 이라온),마크툽 (MAKTUB)
3,95,X Song,볼빨간사춘기
3,96,"너, 너",스트레이 (The Stray)
3,97,Traveler,숀 (SHAUN)
3,98,"걷자, 집앞이야 (Feat. 주예인)",스무살
3,99,그게 뭐라고,어쿠루브
3,100,"Dali, Van, Picasso",빈지노 (Beenzino)
4,1,"나만, 봄",볼빨간사춘기
4,2,주저하는 연인들을 위해,잔나비
4,3,별 보러 갈래?,볼빨간사춘기
4,4,이 노래가 클럽에서 나온다면,우디 (Woody)
4,5,그러나,10CM
4,6,Mermaid,볼빨간사춘기
4,7,여자친구,하은요셉
4,8,Way Back Home,숀 (SHAUN)
4,9,뜨거운 여름밤은 가고 남은 건 볼품없지만,잔나비
4,10,나들이 갈까,볼빨간사춘기
4,11,Seattle Alone,볼빨간사춘기
4,12,사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,잔나비
4,13,She (Hidden Track No.V 1월 선정곡),잔나비
4,14,여행,볼빨간사춘기
4,15,선물,멜로망스
4,16,행복,오반
4,17,처음 만날때처럼,잔나비
4,18,November Rain,잔나비
4,19,봄이 좋냐??,10CM
4,20,나의 사춘기에게,볼빨간사춘기
4,21,우주를 줄게,볼빨간사춘기
4,22,좋다고 말해,볼빨간사춘기
4,23,썸 탈꺼야,볼빨간사춘기
4,24,습관 (Bad Habits),숀 (SHAUN)
4,25,동화,멜로망스
4,26,꿈과 책과 힘과 벽,잔나비
4,27,폰서트,10CM
4,28,우리 애는요,잔나비
4,29,오늘도 그대만 (Feat. 정동원),T.P RETRO (타디스 프로젝트舊)
4,30,나만 안되는 연애,볼빨간사춘기
4,31,투게더!,잔나비
4,32,남이 될 수 있을까,"볼빨간사춘기, 스무살"
4,33,HONG KONG,잔나비
4,34,Good Boy Twist,잔나비
4,35,스토커,10CM
4,36,봄이 오는 날에,김민석 (멜로망스)
4,37,심술,볼빨간사춘기
4,38,프리지아,볼빨간사춘기
4,39,니가 보고싶은 밤,윤딴딴
4,40,#첫사랑,볼빨간사춘기
4,41,매트리스,10CM
4,42,Blue,볼빨간사춘기
4,43,DOLMARO,잔나비
4,44,꿈나라 별나라,잔나비
4,45,TOMBOY,혁오 (HYUKOH)
4,46,조이풀 조이풀,잔나비
4,47,홍연,안예은
4,48,전설,잔나비
4,49,오늘,오왠 (O.WHEN)
4,50,오래된 노래,스탠딩 에그
4,51,겨울을 걷는다,윤딴딴
4,52,아름다워,창모 (CHANGMO)
4,53,You(=I),볼빨간사춘기
4,54,비행운,문문 (MoonMoon)
4,55,안아줘,정준일
4,56,See Your Eyes,잔나비
4,57,사랑은 은하수 다방에서,10CM
4,58,그대가 살아서,정동원
4,59,널 생각해,원 모어 찬스 (one more chance)
4,60,Wish,잔나비
4,61,로켓트,잔나비
