월,순위,타이틀,가수
2,88,보자보자,머쉬베놈 (MUSHVENOM)
2,89,우산 (Feat. 윤하),에픽하이 (EPIK HIGH)
2,90,"Yay (Feat. 이영지, JAMIE (제이미) & 팔로알토) (Prod. 코드 쿤스트)",래원 (Layone)
2,91,Bad News Cypher vol.2 (Feat. TakeOne),릴보이 (lIlBOI)
2,92,"iii (Feat. 베이식, Kid Milli & 팔로알토) (Prod. 코드 쿤스트)",래원 (Layone)
2,93,한량 (Feat. 비비 (BIBI)) (Prod. 딘딘),"민경훈, 김희철"
2,94,사임쌓임,"Chin, 수퍼비 (SUPERBEE), CK, UNEDUCATED KID"
2,95,광장동에서,창모 (CHANGMO)
2,96,연애소설 (Feat. 아이유),에픽하이 (EPIK HIGH)
2,97,붐바야,BLACKPINK
2,98,Ballerino,리쌍
2,99,We are Bulletproof : the Eternal,방탄소년단
2,100,"정당방위 (Feat. 우원재, 넉살, 창모)",에픽하이 (EPIK HIGH)
3,1,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),"미란이 (Mirani), 먼치맨(MUNCHMAN), Khundi Panda, 머쉬베놈 (MUSHVENOM)"
3,2,Life Goes On,방탄소년단
3,3,METEOR,창모 (CHANGMO)
3,4,어떻게 지내 (Prod. By VAN.C),오반
3,5,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",릴보이 (lIlBOI)
3,6,봄날,방탄소년단
3,7,좋은 이별이 있을 리가 없잖아 (Feat. 조현아 Of 어반자카파),MC몽
3,8,Downtown Baby,블루 (BLOO)
3,9,"CREDIT (Feat. 염따, 기리보이, Zion.T)",릴보이 (lIlBOI)
3,10,아무노래,지코 (ZICO)
3,11,멜로디,ASH ISLAND
3,12,눈누난나 (NUNU NANA),제시 (Jessi)
3,13,"Achoo (Feat. pH-1, HAON) (Prod. GroovyRoom)",미란이 (Mirani)
3,14,Freak (Prod. Slom),"릴보이 (lIlBOI), 원슈타인, Chillin Homie, 스카이민혁 (Skyminhyuk)"
3,15,뿌리 (Feat. JUSTHIS) (Prod. GroovyRoom),Khundi Panda
3,16,"ON AIR (Feat. 로꼬, 박재범 & GRAY)",릴보이 (lIlBOI)
3,17,FLYING HIGH WITH U,빈첸
3,18,FRIENDS (Prod. Slom),"릴보이 (lIlBOI), 원슈타인"
3,19,ON,방탄소년단
3,20,눈이 멀었다,MC몽
3,21,어떤X (What Type of X),제시 (Jessi)
3,22,사이렌,호미들
3,23,악역 (Feat. 이하이 & 사이먼 도미닉) (Prod. 코드 쿤스트),스윙스
3,24,고독하구만 (Feat. 수퍼비) (Prod. GroovyRoom),머쉬베놈 (MUSHVENOM)
3,25,우연히 봄,"로꼬, 유주 (YUJU)"
3,26,물망초 (Feat. 신용재),MC몽
3,27,사랑은(Feat.원슈타인),마미손
3,28,Pretty Savage,BLACKPINK
3,29,Beautiful (Feat. Skinny Brown),ASH ISLAND
3,30,거북이 (Feat. 효린) (Remix Ver.),MC몽
3,31,"여백의 미 (Feat. Jessi, JUSTHIS) (Prod. GroovyRoom)",머쉬베놈 (MUSHVENOM)
3,32,"Rainy day (Feat. ASH ISLAND, Skinny Brown)",PATEKO (파테코)
3,33,Joker (Feat. JAMIE),BIG Naughty (서동현)
3,34,돌아갈 순 없을까 (Feat. 김세정),MC몽
3,35,그랑프리 (Feat. Beenzino),ASH ISLAND
3,36,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK
3,37,Summer Hate (Feat. 비),지코 (ZICO)
3,38,시차 (We Are) (Feat. 로꼬 & GRAY),우원재
3,39,쉴 곳 (Feat. 김영흠),MC몽
3,40,"STAR (Feat. 챈슬러, D.Ark)",MC몽
3,41,축하해 (Prod. By VAN.C),오반
3,42,원해 (Feat. 팔로알토) (Prod. 코드 쿤스트),"스윙스, 맥대디 (Mckdaddy), Khakii (카키), 래원 (Layone)"
3,43,아름다워,창모 (CHANGMO)
3,44,DNA,방탄소년단
3,45,멜로디,ASH ISLAND
3,46,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들
3,47,Paranoid,ASH ISLAND
3,48,Kill This Love,BLACKPINK
3,49,IDOL,방탄소년단
3,50,Party Forever,사이먼 도미닉
3,51,적외선 카메라,원슈타인
3,52,One More Night (Feat. lIlBOI),ASH ISLAND
3,53,Error (Feat. Loopy),ASH ISLAND
3,54,어떻게 지내 (답가),런치
3,55,"가다 (Feat. 사이먼 도미닉, The Quiett) (Prod. SLO)",머쉬베놈 (MUSHVENOM)
3,56,잠시,방탄소년단
3,57,빌었어,창모 (CHANGMO)
3,58,우리서로사랑하지는말자,기리보이
3,59,"Rosario (Feat. CL, ZICO)",에픽하이 (EPIK HIGH)
3,60,꽉 쥔 주먹속의 라이터,호미들
3,61,어땠을까 (Feat. 박정현),싸이 (PSY)
3,62,300(prod. Cashbanger),호미들
3,63,사랑이었나봐,기리보이
3,64,FAKE LOVE,방탄소년단
3,65,옜다,"머쉬베놈 (MUSHVENOM), 저스디스 (JUSTHIS)"
3,66,사랑을 했다 (LOVE SCENARIO),iKON
3,67,00:00 (Zero O’Clock),방탄소년단
3,68,시공간,기리보이
3,69,BAND,"창모 (CHANGMO), Hash Swan, ASH ISLAND, 김효은"
3,70,"헤어지지 못하는 여자, 떠나가지 못하는 남자 (Feat. 정인)",리쌍
3,71,SOLO,제니 (JENNIE)
3,72,"인기 (Feat. 송가인, 챈슬러)",MC몽
3,73,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"pH-1, 키드밀리 (Kid Milli), 루피 (Loopy)"
3,74,도망가,MINO (송민호)
3,75,너에게 쓰는 편지 (Feat. 린),MC몽
3,76,"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)","염따, 딥플로우, 팔로알토 (Paloalto), The Quiett, 사이먼 도미닉"
3,77,Officially Missing You,긱스 (Geeks)
3,78,"Checks (Feat. 수퍼비, 박재범 & The Quiett)",ASH ISLAND
3,79,부어라 비워라 (Tricker) (Prod. GroovyRoom),머쉬베놈 (MUSHVENOM)
3,80,악몽,ASH ISLAND
3,81,Black Swan,방탄소년단
3,82,Trip (Feat. Hannah),릴러말즈 (Leellamarz)
3,83,내 생애 가장 행복한 시간 (Feat. 허각),MC몽
3,84,병,방탄소년단
3,85,하루 하루,BIGBANG (빅뱅)
3,86,"And July (Feat. DEAN, DJ Friz)",헤이즈 (Heize)
3,87,Selfmade Orange (Feat. SUPERBEE),창모 (CHANGMO)
3,88,널 너무 모르고,헤이즈 (Heize)
3,89,친구,방탄소년단
3,90,Make A Wish (Birthday Song),NCT U
3,91,GONE (Feat. Paloalto) (Prod. TOIL),"릴러말즈 (Leellamarz), TOIL"
3,92,OKAY (Feat. 스윙스),ASH ISLAND
3,93,Nerdy Love (Feat. 백예린),pH-1
3,94,내 얘기 같아 (Feat. 헤이즈),에픽하이 (EPIK HIGH)
3,95,화병,MC몽
3,96,이 노래가 클럽에서 나온다면,우디 (Woody)
3,97,죽을 만큼 아파서 (Feat. 멜로우),MC몽
3,98,거짓말,BIGBANG (빅뱅)
3,99,400km (Feat. Kid Milli),한요한
3,100,봄 같던 그녀가 춥대 (Feat. 김재환) (Piano Ver.),MC몽
4,1,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),"미란이 (Mirani), 먼치맨(MUNCHMAN), Khundi Panda, 머쉬베놈 (MUSHVENOM)"
4,2,METEOR,창모 (CHANGMO)
4,3,봄날,방탄소년단
4,4,Life Goes On,방탄소년단
4,5,어떻게 지내 (Prod. By VAN.C),오반
4,6,멜로디,ASH ISLAND
4,7,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",릴보이 (lIlBOI)
4,8,어떤X (What Type of X),제시 (Jessi)
4,9,Downtown Baby,블루 (BLOO)
4,10,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들
4,11,아무노래,지코 (ZICO)
4,12,눈누난나 (NUNU NANA),제시 (Jessi)
4,13,"CREDIT (Feat. 염따, 기리보이, Zion.T)",릴보이 (lIlBOI)
4,14,사이렌,호미들
4,15,좋은 이별이 있을 리가 없잖아 (Feat. 조현아 Of 어반자카파),MC몽
4,16,우연히 봄,"로꼬, 유주 (YUJU)"
4,17,안아줘 (Prod. VAN.C),오반
4,18,"Achoo (Feat. pH-1, HAON) (Prod. GroovyRoom)",미란이 (Mirani)
4,19,ON,방탄소년단
4,20,Freak (Prod. Slom),"릴보이 (lIlBOI), 원슈타인, Chillin Homie, 스카이민혁 (Skyminhyuk)"
4,21,뿌리 (Feat. JUSTHIS) (Prod. GroovyRoom),Khundi Panda
4,22,Daisy (Feat. pH-1),미란이 (Mirani)
4,23,"ON AIR (Feat. 로꼬, 박재범 & GRAY)",릴보이 (lIlBOI)
4,24,FLYING HIGH WITH U,빈첸
4,25,사랑은(Feat.원슈타인),마미손
4,26,"Rainy day (Feat. ASH ISLAND, Skinny Brown)",PATEKO (파테코)
4,27,Beautiful (Feat. Skinny Brown),ASH ISLAND
4,28,가습기,한요한
4,29,Pretty Savage,BLACKPINK
4,30,악역 (Feat. 이하이 & 사이먼 도미닉) (Prod. 코드 쿤스트),스윙스
4,31,DNA,방탄소년단
4,32,밤이 되면,"사이먼 도미닉, 로꼬"
4,33,FRIENDS (Prod. Slom),"릴보이 (lIlBOI), 원슈타인"
4,34,고독하구만 (Feat. 수퍼비) (Prod. GroovyRoom),머쉬베놈 (MUSHVENOM)
4,35,IDOL,방탄소년단
4,36,Paranoid,ASH ISLAND
4,37,Cold (Feat. 수퍼비) (Prod. Way Ched),D.Ark (디아크)
4,38,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK
4,39,경우의 수 (Feat. CHANGMO) (Prod. Way Ched),"D.Ark (디아크), Baggie (배기)"
4,40,아름다워,창모 (CHANGMO)
4,41,Summer Hate (Feat. 비),지코 (ZICO)
4,42,시차 (We Are) (Feat. 로꼬 & GRAY),우원재
4,43,BACKPACK (Feat. CHANGMO) (Prod. Way Ched),"강서빈 (YUNG CHENS), TRADE L, Baggie (배기), D.Ark (디아크)"
4,44,"여백의 미 (Feat. Jessi, JUSTHIS) (Prod. GroovyRoom)",머쉬베놈 (MUSHVENOM)
4,45,FAKE LOVE,방탄소년단
4,46,300(prod. Cashbanger),호미들
4,47,축하해 (Prod. By VAN.C),오반
4,48,Error (Feat. Loopy),ASH ISLAND
4,49,Kill This Love,BLACKPINK
4,50,시공간,기리보이
4,51,꽉 쥔 주먹속의 라이터,호미들
4,52,사랑을 했다 (LOVE SCENARIO),iKON
4,53,빌었어,창모 (CHANGMO)
4,54,거북이 (Feat. 효린) (Remix Ver.),MC몽
4,55,도망가,MINO (송민호)
4,56,어떻게 지내 (답가),런치
4,57,우리서로사랑하지는말자,기리보이
4,58,어땠을까 (Feat. 박정현),싸이 (PSY)
4,59,BAND,"창모 (CHANGMO), Hash Swan, ASH ISLAND, 김효은"
4,60,사임쌓임,"Chin, 수퍼비 (SUPERBEE), CK, UNEDUCATED KID"
4,61,눈이 멀었다,MC몽
4,62,SOLO,제니 (JENNIE)
4,63,악몽,ASH ISLAND
4,64,멜로디,ASH ISLAND
4,65,너에게 쓰는 편지 (Feat. 린),MC몽
4,66,잠시,방탄소년단
4,67,"헤어지지 못하는 여자, 떠나가지 못하는 남자 (Feat. 정인)",리쌍
4,68,원해 (Feat. 팔로알토) (Prod. 코드 쿤스트),"스윙스, 맥대디 (Mckdaddy), Khakii (카키), 래원 (Layone)"
4,69,적외선 카메라,원슈타인
4,70,"GREEN LIGHT (Feat. 박재범, pH-1) (Prod. WOOGIE)","박현진, Lil Bemo (김다현), YLN Foreign (이정운), 플루마 (PLUMA)"
4,71,400km (Feat. Kid Milli),한요한
4,72,하루 하루,BIGBANG (빅뱅)
4,73,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"pH-1, 키드밀리 (Kid Milli), 루피 (Loopy)"
4,74,Trip (Feat. Hannah),릴러말즈 (Leellamarz)
4,75,Joker (Feat. JAMIE),BIG Naughty (서동현)
4,76,피 땀 눈물,방탄소년단
4,77,녹아줄게,"노윤하, YoBoy (강요셉)"
4,78,I NEED U,방탄소년단
4,79,그랑프리 (Feat. Beenzino),ASH ISLAND
4,80,Euphoria,방탄소년단
4,81,Selfmade Orange (Feat. SUPERBEE),창모 (CHANGMO)
4,82,00:00 (Zero O’Clock),방탄소년단
4,83,거짓말,BIGBANG (빅뱅)
4,84,Officially Missing You,긱스 (Geeks)
4,85,GONE (Feat. Paloalto) (Prod. TOIL),"릴러말즈 (Leellamarz), TOIL"
4,86,"And July (Feat. DEAN, DJ Friz)",헤이즈 (Heize)
4,87,Nerdy Love (Feat. 백예린),pH-1
4,88,"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)","염따, 딥플로우, 팔로알토 (Paloalto), The Quiett, 사이먼 도미닉"
4,89,엘리자베스,"황세현 (h3hyeon), JAEHA (재하), obiegogle(오비고글), Choo"
4,90,Chris Brown Moves,"황세현 (h3hyeon), JAEHA (재하)"
4,91,"인기 (Feat. 송가인, 챈슬러)",MC몽
4,92,Answer : Love Myself,방탄소년단
4,93,Black Swan,방탄소년단
4,94,이모티콘,"Touch the Sky, Vapo (허원혁)"
4,95,물망초 (Feat. 신용재),MC몽
4,96,한여름밤의 꿀,"San E, 레이나 (Raina)"
4,97,WORK!,"Lil Bemo (김다현), 박현진"
4,98,Y (Please Tell Me Why),프리스타일
4,99,우산 (Feat. 윤하),에픽하이 (EPIK HIGH)
4,100,"가다 (Feat. 사이먼 도미닉, The Quiett) (Prod. SLO)",머쉬베놈 (MUSHVENOM)
5,1,마.피.아. In the morning,ITZY (있지)
5,2,멜로디,ASH ISLAND
5,3,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들
5,4,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),"미란이 (Mirani), 먼치맨(MUNCHMAN), Khundi Panda, 머쉬베놈 (MUSHVENOM)"
5,5,METEOR,창모 (CHANGMO)
5,6,Life Goes On,방탄소년단
5,7,봄날,방탄소년단
5,8,어떻게 지내 (Prod. By VAN.C),오반
5,9,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",릴보이 (lIlBOI)
5,10,Downtown Baby,블루 (BLOO)
5,11,맛 (Hot Sauce),NCT DREAM
5,12,사이렌,호미들
5,13,어떤X (What Type of X),제시 (Jessi)
5,14,아무노래,지코 (ZICO)
5,15,ON,방탄소년단
5,16,"Rainy day (Feat. ASH ISLAND, Skinny Brown)",PATEKO (파테코)
5,17,눈누난나 (NUNU NANA),제시 (Jessi)
5,18,365&7 (Feat. JAMIE),pH-1
5,19,"CREDIT (Feat. 염따, 기리보이, Zion.T)",릴보이 (lIlBOI)
5,20,사랑은(Feat.원슈타인),마미손
5,21,DNA,방탄소년단
5,22,IDOL,방탄소년단
5,23,Freak (Prod. Slom),"릴보이 (lIlBOI), 원슈타인, Chillin Homie, 스카이민혁 (Skyminhyuk)"
5,24,"Achoo (Feat. pH-1, HAON) (Prod. GroovyRoom)",미란이 (Mirani)
5,25,뿌리 (Feat. JUSTHIS) (Prod. GroovyRoom),Khundi Panda
