월,순위,타이틀,가수
3,1,달라달라,ITZY (있지)
3,2,멍청이(twit),화사 (Hwa Sa)
3,3,벌써 12시,청하
3,4,고고베베 (gogobebe),마마무 (Mamamoo)
3,5,누아르 (Noir),선미
3,6,YES or YES,TWICE (트와이스)
3,7,Senorita,(여자)아이들
3,8,MILLIONS,WINNER
3,9,Love Shot,EXO
3,10,해야 (Sunrise),여자친구 (GFRIEND)
3,11,Tempo,EXO
3,12,Dance The Night Away,TWICE (트와이스)
3,13,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원)
3,14,사이렌 (Siren),선미
3,15,BIRD,하성운
3,16,%% (응응),Apink (에이핑크)
3,17,봄바람,Wanna One (워너원)
3,18,아주 NICE,세븐틴
3,19,에너제틱 (Energetic),Wanna One (워너원)
3,20,어쩌나,세븐틴
3,21,Roller Coaster,청하
3,22,어느날 머리에서 뿔이 자랐다 (CROWN),투모로우바이투게더
3,23,트라우마 (Trauma),EXO
3,24,뿜뿜,모모랜드 (MOMOLAND)
3,25,Forever Young,BLACKPINK
3,26,Good to Me,세븐틴
3,27,너나 해 (Egotistic),마마무 (Mamamoo)
3,28,별이 빛나는 밤,마마무 (Mamamoo)
3,29,What is Love?,TWICE (트와이스)
3,30,Gravity,EXO
3,31,오.꼭.말,하성운
3,32,Power Up,Red Velvet (레드벨벳)
3,33,I'm So Hot,모모랜드 (MOMOLAND)
3,34,밤 (Time for the moon night),여자친구 (GFRIEND)
3,35,닿은 순간 (Ooh La La La),EXO
3,36,숨이 차,세븐틴
3,37,1도 없어,Apink (에이핑크)
3,38,WANT,태민 (TAEMIN)
3,39,마지막처럼,BLACKPINK
3,40,REALLY REALLY,WINNER
3,41,한(一),(여자)아이들
3,42,Heart Shaker,TWICE (트와이스)
3,43,빨간 맛 (Red Flavor),Red Velvet (레드벨벳)
3,44,LATATA,(여자)아이들
3,45,Love U,청하
3,46,Sign,EXO
3,47,쟤가 걔야 (Waggy),마마무 (Mamamoo)
3,48,LIKEY,TWICE (트와이스)
3,49,불장난,BLACKPINK
3,50,불타오르네 (FIRE),방탄소년단
3,51,BOOMERANG (부메랑),Wanna One (워너원)
3,52,BLUE MOON (Prod. GroovyRoom),"효린, 창모 (CHANGMO)"
3,53,RBB (Really Bad Boy),Red Velvet (레드벨벳)
3,54,Bad Boy,Red Velvet (레드벨벳)
3,55,가시나,선미
3,56,"셋 셀테니 (1, 2, 3!)",승리
3,57,알러뷰,EXID
3,58,BAAM,모모랜드 (MOMOLAND)
3,59,CHEER UP,TWICE (트와이스)
3,60,Damage,EXO
3,61,Shhh,세븐틴
3,62,TT,TWICE (트와이스)
3,63,Decalcomanie (데칼코마니),마마무 (Mamamoo)
3,64,Why Don't You Know (Feat. 넉살),청하
3,65,POP/STARS,"(여자)아이들, Madison Beer, Jaira Burns, K/DA, League of Legends"
3,66,켜줘 (Light),Wanna One (워너원)
3,67,좋은 날,아이유
3,68,KNOCK KNOCK,TWICE (트와이스)
3,69,주인공,선미
3,70,죽겠다 (KILLING ME),iKON
3,71,빙글뱅글 (Bingle Bangle),AOA
3,72,스물셋,아이유
3,73,하루 끝,아이유
3,74,피카부 (Peek-A-Boo),Red Velvet (레드벨벳)
3,75,시간을 달려서 (Rough),여자친구 (GFRIEND)
