발매일,타이틀,아티스트,프로듀서,1주 순위,2주 순위,4주 순위
,Tick Tick Boom,CLASS:y (클라씨),,,,
,오늘이야 (Good Day),유다빈밴드,,,,
,필라테스 수업이 좋아요 J,최윤,,,,
,HOLA (feat. 서영),B패밀리,,,,
,둘이서,엣지스(Edges),,,,
,I Still Miss You,라보 (RABO),,,,
,NEBULA(Feat.SnowA),GENRE,,,,
,DTDTGMGN,이터니티(Eternity),,,,
,지금을 사랑해,스텔라 장(Stella Jang),,,,
,LOVE is RIGHT (Feat. Jeryl Lee),기명제,,,,
,I feel that,DIAWINGS (다이아윙스),,,,
,독도 Love,세종사이버맨,,,,
,DREAMING,준성(JunSung),,,,
,기괴한 이야기 : Get Out,핑크판타지,,,,
,MINDDD (Feat. Reo Cragun),pluko,,,,
,Yummy Yummy,Queenz Eye,,,,
,Loveable,조유리,,,,
,WannaV (Feat. Lani),aeiuo,,,,
,Youth,기현,,,,
,Take On,jisokuryClub,,,,
,Carnival,에이블루(ABLUE),,,,
,You Think,AMOS(아모스),,,,
,Whisky,맥거핀 (MGFF),,,,
,Get Right,Ziodina (지오디나),,,,
,나의 달,정아로,,,,
,두둥실 (Prod. 영탁),소윤,,,,
,I'm Lost,너드커넥션(Nerd Connection),,,,
,Dancing On The Moon,hell9,,,,
,Grape,권주희,,,,
,야놀자(Let's play)-created using Groovepad app,Dj.tok,,,,
,Stand by you,라운드테이블(Roundtable),,,,
,아레아레 Arre Arre,재키초이(Jaekey Choi),,,,
,그런 사람 또 없습니다,박장현,,,,
,"엄마, 전화 좀 받으세요",Pale Blue Mind(페일 블루 마인드),,,,
,동화,메르헨(Marchen),,,,
,Hazy,정성민,,,,
,이클립스,건호(KunHo),,,,
,Pray,이원석 (of 데이브레이크),,,,
,"대해,더",Chaen e,,,,
,Meet Halfway,Hooni,,,,
,알고 하는말은 아닌데,그을,,,,
,HYDROGEN,겐테라 (이지겐 사테라이토),,,,
,아름다운 노래,크리에이티브 싱 댄스 액트(Creative Sing-Dance-Act),,,,
,Queen of Hearts,IVE (아이브),,,,
,ELEVEN -Japanese version-,IVE (아이브),,,,
,사랑을 원해,이다희,,,,
,It's you,플러그윈(Plug-Win),,,,
,Green Wilderness,Demian Blue (데미안블루),,,,
,줄게,숙행,,,,
,백상아리송(영어),꼬꼬스토이,,,,
,Raining In Seoul,LIVIN,,,,
,Bite,디오 (D.O.),,,,
,Wave (Feat. 정세운),엑시(우주소녀),,,,
,Spray,위아이(WEi),,,,
,Good,DONGZASEE,,,,
,Brand New LOTTE Mart,L.M,,,,
,DOMESTIC (팔각정),비,,,,
,엄마는 외계인,리나,,,,
,,choiboi (초이보이),,,,
,Stroll,Regrubkinchi (레그럽킨치),,,,
,하이파이브,땡절스 (DanJerous),,,,
,I'm Not a Loser,고스락K(Gosrak K),,,,
,RINGING,미주,,,,
,우리 함께한 순간,권혁수,,,,
,Feeling,가니(GANi),,,,
,Malibu,패턴(PATTERN),,,,
,"다시, 새벽",이도(EEDO),,,,
,그녀가 나를 보네요 (Dust Remix),슈퍼 다이나마이트,,,,
,Dream,Scenery,,,,
,세이렌 (Seiren),휴일(HYUIL),,,,
,파노라마,이찬혁,,,,
,폭망 (I Like You),엔플라잉(N.Flying),,,,
,ANTIFRAGILE,LE SSERAFIM (르세라핌),,,,
,Nxde,(여자)아이들,,,,
,해야,콜링콰이어,,,,
,봄 춘,Jade Light,,,,
,Fxxx My Trauma,curv moon,,,,
,유퀴즈 송,베리,,,,
,국밥타령,이윤아,,,,
,Perfect Holiday,윗공아공,,,,
,Villain,HEEYOON,,,,
,Trust Me,트러스트(Trust),,,,
,Off my face,문수진 (Moon Sujin),,,,
,이별,민이와진이,,,,
,Heart Darts,이젤(izel),,,,
,Over Again (Original mix),SEFO,,,,
,"Inside, Outside",레이디오울 (Lady Owl),,,,
,나를 외치다,윤성,,,,
,Last Man Standing,Raiden,,,,
,Like A Star,위니(Winny),,,,
,"그런 너, 그런 나",SNB,,,,
,천원짜리 변호사,김경호,,,,
,You,Rovers,,,,
,Dont blah (Feat. 천누리),Musist,,,,
,바림(Feat. seen),이스트문,,,,
,아마도 초능력,페베코(Pebecco),,,,
,Hush,빛베리,,,,
,POPPIA (JAPAN ver.),TO1 (티오원),,,,
,Ed Sheeran - Bad Habits(COVER),이진석,,,,
,Friends,Johnny Stimson,,,,
,Don't Regret,원호 (WONHO),,,,
,추억 속의 그대,이병찬,,,,
,사악 (Bad and Dark),B.A.D 4,,,,
,Kitchen Party,Phlake(플레이크),,,,
,오늘은 달이 참 밝은 것 같죠,조주(Jojoo),,,,
,Jamboree Anthem Korea,OMEGA X (오메가엑스),,,,
,슈퍼패밀리 인싸레인저,인싸가족,,,,
,Just Watch,로드(ROAD),,,,
,Will you be there when i go?,우여운,,,,
,Anymore,갓퍼스트(God First),,,,
,We Fresh,Kep1er (케플러),,,,
,작은별,LUCY,,,,
,11:59,라 블랑캣 (La Blancat),,,,
,What If Love,업텐션(Up10Tion),,,,
,삼겹살 (feat. 도하),SeOUL COOKER,,,,
,Step to the Rhythm,Daydream (데이드림),,,,
,레인보우 브릿지 (Rainbow Bridge),수연,,,,
,사랑병,슬리핑포엣(Sleepingpoet),,,,
,HUSH RUSH,이채연,,,,
,청춘블라썸,천지원,,,,
,Higher,816,,,,
,finish,Danny K,,,,
,Soul Glitch,SSame(쎄임),,,,
,Underwater,권은비,,,,
,버릴걸 (ver. DISCO),문별 (마마무),,,,
,NITRO,박지훈,,,,
