Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
haventseenyou,haventseenyou,,8,0.225421,0.249937,0
UNEDUCATEDKID,UNEDUCATEDKID,,8,0.198393,0.21868,5.753785
황지상(HWANGJISANG),황지상(HWANGJISANG),,7,0.235683,0.260043,116.646073
ASHISLAND(애쉬아일랜드),ASHISLAND(애쉬아일랜드),,7,0.262684,0.297359,2216.535594
긱스(Geeks),긱스(Geeks),,1,1,1,0
베이식(Basick),베이식(Basick),,7,0.259289,0.301239,2611.006493
CK(씨케이),CK(씨케이),,9,0.164784,0.18176,79.25
DonMills(던밀스),DonMills(던밀스),,7,0.264415,0.316303,1572.867053
DJWegun(DJ웨건),DJWegun(DJ웨건),,9,0.215436,0.240643,2.110534
RAVI,RAVI,,10,0.156128,0.166972,0
MCSniper,MCSniper,,2,0.666667,0.75,0
베리,베리,,8,0.247304,0.282714,236.282612
KWAKZ,KWAKZ,,8,0.225738,0.252014,27.420496
ZICO,ZICO,,2,0.666667,0.75,0
BOYCOLD,BOYCOLD,,9,0.177938,0.192328,0
YLNForeign(이정운),YLNForeign(이정운),,7,0.221074,0.247738,89.945723
Jaero,Jaero,,10,0.154773,0.172467,0
SupremeTeam(슈프림팀),SupremeTeam(슈프림팀),,2,0.75,0.833333,0.5
bayb,bayb,,10,0.154773,0.172467,0
TheQuiett(더콰이엇),TheQuiett(더콰이엇),,7,0.225421,0.256334,83.324713
Cashbanger,Cashbanger,,7,0.248837,0.278482,1557.051541
sokodomo(소코도모),sokodomo(소코도모),,9,0.236726,0.276519,1571.016144
버벌진트(VerbalJint),버벌진트(VerbalJint),,2,0.75,0.833333,0.5
전홍준,전홍준,,3,0.5,0.533333,0
ChillinHomie(칠린호미),ChillinHomie(칠린호미),,9,0.229286,0.257983,41.448653
Jessi,Jessi,,8,0.208442,0.232588,2727.693999
Fisherman,Fisherman,,8,0.268395,0.306757,1276.442628
hoiwave,hoiwave,,8,0.199132,0.216526,0
FIFTYFIVE,FIFTYFIVE,,8,0.206033,0.235551,38.526086
쿠기(Coogie),쿠기(Coogie),,9,0.207364,0.233274,705.800341
Mirani,Mirani,,8,0.237075,0.262728,88.285464
TRADEL(트레이드엘),TRADEL(트레이드엘),,7,0.235683,0.263833,960.452506
라비(RAVI),라비(RAVI),,9,0.184908,0.204473,957
Paloalto,Paloalto,,8,0.24063,0.275426,371.8386
JBird,JBird,,8,0.194075,0.211055,0
Choiza,Choiza,,10,0.177741,0.192642,0
SimonDominic,SimonDominic,,8,0.252358,0.289753,571.84481
SPACEONE,SPACEONE,,10,0.154773,0.172467,0
호미들(Homies),호미들(Homies),,7,0.243182,0.287813,3957.293694
