발매일,타이틀,아티스트,프로듀서,점수
2022.05.30~2022.06.05,도깨비불 (Illusion),aespa,"Gharah 'PK' Degeddingseze,Patricia 'Tricia' Battani,Steve Octave",1.2399636
2022.05.30~2022.06.05,Trouble? TRAVEL!,ADORA,nan,0.0046802
2022.05.30~2022.06.05,Stupid O'clock,VICTON(빅톤),nan,0.009068
2022.05.30~2022.06.05,Beatbox,NCT DREAM,"Jurek Reunamaki,IMLAY,Emily Kim,Michael Jade,Brice Fox",0.3718609
2022.05.23~2022.05.29,우리 둘 사이에,위키미키(Weki Meki),nan,0.0017439
2022.05.23~2022.05.29,Waka Boom (My Way) (Feat. 이영지),효린,nan,0.19525
2022.05.23~2022.05.29,Butterfly,이달의 소녀,nan,0.0271451
2022.05.23~2022.05.29,NANANA,GOT7 (갓세븐),nan,0.0087316
2022.05.16~2022.05.22,TOMBOY (R3HAB Remix),(여자)아이들,nan,1.0306347
2022.05.16~2022.05.22,Fellowship,선미,nan,1.0099323
2022.05.16~2022.05.22,SAVIOR,AB6IX (에이비식스),nan,0.0646642
2022.05.16~2022.05.22,DEEP,효연 (HYO),nan,0.0405465
2022.05.09~2022.05.15,Star,STAYC(스테이씨),nan,0.4207853
2022.05.09~2022.05.15,Good Boy Gone Bad,투모로우바이투게더,nan,0.4487934
2022.05.09~2022.05.15,Thursday's Child Has Far To Go,투모로우바이투게더,"Slow Rabbit,범규,Revin,조윤경,Gabriel Brandes,Matt Thomson,Max Lynedoch Graham,태현,'Hitman' Bang,송재경,1월8일,Moa ""Cazzi Opeia"" Carlebecker,Ninos Hanna,Melanie Fontana,Michel 'Lindgren' Schulz,Alexander Karlsson,Nermin Harambasic,Danke,황유빈",0.4487934
2022.05.02~2022.05.08,교복에서 부케까지,안예은,nan,0.002753
2022.05.02~2022.05.08,너라는 이유 (BUT YOU),iKON,"강욱진,Diggy,Maribelle Anes",0.0906846
2022.04.25~2022.05.01,나만의 것,청하,nan,1.9133155
2022.04.25~2022.05.01,That That (prod. & feat. SUGA of BTS),싸이 (PSY),"SUGA,싸이,EL CAPITXN",0.0209136
2022.04.25~2022.05.01,Celeb,싸이 (PSY),"ZICO,싸이,유건형",0.0209136
2022.04.25~2022.05.01,이제는 (feat. 화사),싸이 (PSY),"Mike Bradley,Stephen Wittmack,Peggy March,유건형",0.0209136
2022.04.25~2022.05.01,9INTRO,싸이 (PSY),"싸이,유건형,Space One",0.0209136
2022.04.25~2022.05.01,내일의 나에게,싸이 (PSY),"싸이,VVN,김지선,화이트99,서원진",0.0209136
2022.04.25~2022.05.01,그녀를 사랑해줘요 (여자 VER.),박문치,nan,0.1398651
2022.04.25~2022.05.01,C.I.T.T (Cheese in the Trap),문별 (마마무),nan,0.040987
2022.04.25~2022.05.01,쑥맥(feat. 최유정 (Weki Meki)),부끄뚱,nan,0.035404
2022.04.11~2022.04.17,Pirate (R3HAB Remix),EVERGLOW(에버글로우),nan,0.0493485
2022.04.11~2022.04.17,너 그리고 나 (NAVILLERA),우주소녀,nan,0.1289759
2022.04.11~2022.04.17,Better than 21,서연,nan,0.0003354
2022.04.11~2022.04.17,LA LA POP!,하성운,nan,0.0487992
2022.04.11~2022.04.17,The Way That You Are,Daniel Kim,nan,0.0329762
2022.04.04~2022.04.10,Dun Dun Dun,솔라 (마마무),nan,0.0306631
2022.04.04~2022.04.10,LOVE DIVE,IVE (아이브),"Sophia Brennan,Elle Campbell,Nick Hahn",0.030385
2022.04.04~2022.04.10,ROYAL,IVE (아이브),"Jamie Parker,Willie Weeks,Paulina Cerrilla,Kyler Niko",0.030385
