가수,점수
황현,0.0483005
SuperM,0.0480365
JinByJin,0.04762
Vernon,0.047595
AKMU(악뮤),0.0472238
ZICO,0.0470559
EdSheeran,0.0470385
SteveMac,0.0470385
JohnnyMcDaid,0.0470385
WillemijnvanderNeut,0.0470165
Saimon,0.0470165
RoseInPeace,0.0470165
MarciaSondeijker,0.0470165
후이,0.0466395
JazelleParis,0.045679
DavidQuinones,0.045679
Katrine'Neya'Klith,0.045679
DanielDurn,0.045679
강다니엘,0.0456286
백호,0.0455164
SF9,0.0454644
$$AM,0.045033
WWWAVE,0.045033
정호현,0.0441156
핫띠,0.0437169
KUSH,0.04314
MarkusLindell,0.0427821
BelleHumble,0.0427821
OlofLindskog,0.0421151
PaulinaCerrilla,0.0419312
AliceVicious,0.0419312
조윤경,0.0419312
JJean,0.0419312
NoisyCitizen,0.0419312
JADEDJANE,0.0419312
엄지,0.0419312
다솜,0.0417015
윤명운,0.0414475
김민구,0.0414475
문별(마마무),0.040987
효연(HYO),0.0405465
SimonPetren,0.0404434
PRODUCEX101,0.0401236
Jjean,0.0399497
Dominsuk,0.038888
SeanMichaelAlexander,0.0385364
DrewRyanScott,0.0385364
브라운아이드걸스,0.038447
AlexJiaLihHiew,0.0382347
ChristofferSemelius,0.038034
H.Kenneth,0.038034
원더키,0.038034
별들의전쟁*,0.037698
문별,0.0376527
iHwak,0.0368576
K/DA,0.0365341
LeagueofLegends,0.0365341
러블리즈,0.0364876
Noheul,0.0359497
SonnyJMason,0.0354371
부끄뚱,0.035404
TM,0.0353088
서용배,0.0349463
진영,0.0342096
JensonVaughan,0.0338448
Yaakov'Yash'Gruzman,0.0338448
DelaneyJane,0.0338448
Timothy'Bos'Bullock,0.0338082
AFSHEEN,0.0335378
ShariShort,0.0335378
JoshCumbee,0.0335378
JosephinaCarr,0.0335378
AfshinSalmani,0.0335378
NoahConrad,0.033328
비투비포유,0.033114
AndreasCarlsson,0.0330669
DanielKim,0.0329762
MadisonBeer,0.0328147
JairaBurns,0.0328147
72,0.0327938
지코,0.0327528
GATO,0.032725
인디고,0.0322352
Jay-Keyz,0.0320181
AWA,0.0320181
AstonRudi,0.0320181
홍지상,0.03199
진,0.0319442
정국,0.0319442
Arston,0.0319442
Megatone,0.0317497
SCORE,0.0317497
솔라(마마무),0.0306631
IVE(아이브),0.030385
JordainJohnson,0.0300418
싸이,0.0294548
GregBonnick,0.02928
HaydenChapman,0.02928
SIXC(6crazy),0.0292548
PaulineSkott,0.0291604
PeterStJames,0.0291604
dwilly,0.028679
JamesAbrahart,0.028679
WyattSanders,0.028679
DavidWilson,0.028679
황성제,0.0284283
Onestar,0.0279099
god,0.0278842
B1A4,0.0273114
보아,0.0272386
이달의소녀,0.0271451
KirstenCollins,0.0269535
인피니트,0.0264569
InnerChild,0.0261051
황민현,0.026057
ChrisYoung,0.0259367
신아녜스,0.0259367
Mussashi,0.0259367
JulienMauriceMoore,0.0256576
던,0.0253335
권필립,0.0253335
쿨(COOL),0.0251738
ELCAPITXN,0.0249606
로키드(Lokid),0.0241325
라비,0.0237266
