Id,Label,timeset,Weighted Degree,eigencentrality
CarolineGustavsson,CarolineGustavsson,,0.320299,0.027751
CurtisARichardson,CurtisARichardson,,0.040499,0.01327
정일훈,정일훈,,0.005709,0.004839
MayuWakisaka,MayuWakisaka,,0.264191,0.109305
Nmore,Nmore,,0.067639,0.024068
JakeK,JakeK,,0.030935,0.01958
마미손,마미손,,0.056657,0.029637
SCORE,SCORE,,0.114143,0.013457
TamaraJohnson,TamaraJohnson,,0.022957,0.126881
KevinRandolph,KevinRandolph,,0.064318,0.126881
박슬기,박슬기,,0.200174,0.012766
백호,백호,,0.203297,0.016617
AllisonKaplan,AllisonKaplan,,0.115862,0.065264
JinByJin,JinByJin,,0.027281,0.126881
(여자)아이들,(여자)아이들,,1.493471,0.022242
MaxxSong,MaxxSong,,0.163611,0.065264
CameronNeilson,CameronNeilson,,0.139029,0.017649
키겐,키겐,,0.028329,0.033339
쿨(COOL),쿨(COOL),,0.013255,0.002598
AnyMasingga,AnyMasingga,,0.080474,0.035241
DemJointz,DemJointz,,0.091989,0.126881
송수윤,송수윤,,0.008077,0.006369
god,god,,0.139421,0.031865
윤명운,윤명운,,0.178337,0.005575
이우민'Collapsedone',이우민'Collapsedone',,0.4242,0.041452
핫띠,핫띠,,0.076775,0.007599
이정철,이정철,,0.074323,0.027751
우주소녀,우주소녀,,0.288504,0.043646
효린,효린,,0.213197,0.004669
김도훈,김도훈,,0.356767,0.050236
P.O(피오),P.O(피오),,0.058613,0.018731
빅싼초,빅싼초,,0.651838,0.006435
전준규,전준규,,0.032518,0.012028
인피니트,인피니트,,0.038059,0.024241
제피,제피,,0.01873,0.005987
Timothy'Bos'Bullock,Timothy'Bos'Bullock,,0.078715,0.065264
싸이(PSY),싸이(PSY),,0.104568,0.006462
에일리(Ailee),에일리(Ailee),,0.157965,0.038413
거북이,거북이,,0.127269,0.001918
조미쉘,조미쉘,,0.001841,0.011666
강욱진,강욱진,,0.871573,0.015924
박수석,박수석,,0.044343,0.021684
MoZella,MoZella,,0.022885,0.126881
DEEZ,DEEZ,,0.131321,0.126881
코스믹걸,코스믹걸,,0.040574,0.028553
G-HIGH,G-HIGH,,0.01474,0.012403
최수정,최수정,,0.004462,0.003312
AllakoiPeete,AllakoiPeete,,0.022885,0.126881
맴맴,맴맴,,0.042744,0.004087
라비(RAVI),라비(RAVI),,0.020743,0.01119
라이머,라이머,,0.089044,0.005987
SaraForsberg,SaraForsberg,,0.093107,0.065264
윤일상,윤일상,,0.039073,0.004087
전군,전군,,1.257564,0.078977
MartinMulholland,MartinMulholland,,0.041175,0.009168
유건형,유건형,,0.098704,0.008059
이대휘,이대휘,,0.097499,0.018753
CharliTaft,CharliTaft,,0.022807,0.126881
강민훈,강민훈,,0.03378,0.028553
R.Tee,R.Tee,,0.780723,0.022333
AaronFresh,AaronFresh,,0.024867,0.138547
KUSH,KUSH,,0.017645,0.003652
용감한형제,용감한형제,,0.016271,0.035222
방시혁,방시혁,,0.328758,0.020205
뉴이스트W,뉴이스트W,,0.06344,0.018557
서원진,서원진,,0.063705,0.006419
소녀시대-Oh!GG,소녀시대-Oh!GG,,0.062341,0.015467
CazziOpeia,CazziOpeia,,0.772935,0.124365
국.슈(국프의핫이슈),국.슈(국프의핫이슈),,0.046403,0.005268
WannaOne(워너원),WannaOne(워너원),,1.427269,0.097727
TayJasper,TayJasper,,0.32574,0.213952
ZICO,ZICO,,0.134766,0.020568
TheStereotypes,TheStereotypes,,0.163611,0.065264
프로미스나인,프로미스나인,,0.043881,0.030139
CHOICE37,CHOICE37,,0.010625,0.004877
죠리,죠리,,0.377205,0.023638
Avenue52,Avenue52,,0.243977,0.075929
WhitneyPhillips,WhitneyPhillips,,0.163611,0.065264
StevenLee,StevenLee,,0.459555,0.027751
CharlesHinshaw,CharlesHinshaw,,0.022957,0.126881
신사동호랭이,신사동호랭이,,0.672458,0.016317
Zayvo,Zayvo,,0.010625,0.004877
AiRPLAY,AiRPLAY,,0.10621,0.025701
EXO,EXO,,5.646443,1
이정현,이정현,,0.004462,0.003312
f(x),f(x),,0.00279,0.016996
SuperM,SuperM,,0.193429,0.154397
KevinWhite,KevinWhite,,0.282153,0.126881
Vernon,Vernon,,0.033481,0.012403
조성진,조성진,,0.008828,0.004518
JonatanGusmark,JonatanGusmark,,0.543611,0.113966
김건모,김건모,,0.226351,0.028553
데.비(데일리비타민),데.비(데일리비타민),,0.045915,0.004087
JordanCroucher,JordanCroucher,,0,0
K/DA,K/DA,,0.140849,0.012717
JoeJ.Lee'Kairos',JoeJ.Lee'Kairos',,0.005533,0.041452
MelanieFontana,MelanieFontana,,0.140769,0.031753
ZacharyChicoine,ZacharyChicoine,,0.019343,0.021808
BEVERLYKIDZ,BEVERLYKIDZ,,0.038038,0.003726
ASTRO(아스트로),ASTRO(아스트로),,0.000935,0.024171
OlofLindskog,OlofLindskog,,0.145591,0.065264
SteveManovski,SteveManovski,,0,0
MyrtoulaRoe,MyrtoulaRoe,,0.039491,0.00725
SlowRabbit,SlowRabbit,,0.093422,0.011548
LydiaPaek,LydiaPaek,,0.237387,0.009427
임수호,임수호,,0.408701,0.078091
GregBonnick,GregBonnick,,0.042432,0.148689
방탄소년단,방탄소년단,,2.550417,0.095714
IZ*ONE(아이즈원),IZ*ONE(아이즈원),,0.922391,0.055709
차쿤,차쿤,,0.001841,0.021684
미미,미미,,0.074323,0.027751
G.고릴라,G.고릴라,,0.041112,0.006704
EXID,EXID,,0.265098,0.009303
메건리,메건리,,0.021229,0.002598
러블리즈,러블리즈,,0.080504,0.038491
ToojiKeshtkar,ToojiKeshtkar,,0.041175,0.009168
박철근,박철근,,0.037295,0.013457
BLACKPINK,BLACKPINK,,2.7724,0.039927
Andreas?berg,Andreas?berg,,0.138669,0.192145
박우상,박우상,,1.20263,0.083881
Simpson,Simpson,,0.008455,0.012766
DrewRyanScott,DrewRyanScott,,0.192682,0.033072
KarlPowell,KarlPowell,,0.01392,0.065264
산조웨이브,산조웨이브,,0.01873,0.005987
태민(TAEMIN),태민(TAEMIN),,0.329402,0.037242
임현식,임현식,,0.005709,0.004839
이정민,이정민,,0.001841,0.021684
TWICE(트와이스),TWICE(트와이스),,5.807274,0.267264
마마무(Mamamoo),마마무(Mamamoo),,2.460492,0.160213
김승수,김승수,,0.283553,0.071559
김민구,김민구,,0.178337,0.005575
이현승,이현승,,0.020665,0.007511
BrookeWilliams,BrookeWilliams,,0.014164,0.021684
이종필,이종필,,0.007694,0.002598
HaydenChapman,HaydenChapman,,0.042432,0.148689
승리,승리,,0.318526,0.025731
ArlissaRuppert,ArlissaRuppert,,0.023401,0.020205
J.Y.Park'TheAsiansoul',J.Y.Park'TheAsiansoul',,0.529731,0.065453
ErikNyholm,ErikNyholm,,0.086359,0.021684
서지은,서지은,,0.044343,0.021684
이단옆차기,이단옆차기,,0.198899,0.029775
'Hitman'Bang,'Hitman'Bang,,0.140769,0.031753
MarcusLatiefScott,MarcusLatiefScott,,0.019343,0.021808
Rodnae'Chikk'Bell,Rodnae'Chikk'Bell,,0.074485,0.011011
AnneJudithStokkeWik,AnneJudithStokkeWik,,0.404429,0.09284
AnthonyRusso,AnthonyRusso,,0.282153,0.126881
AriLeff,AriLeff,,0.018298,0.008496
IvanMatias,IvanMatias,,0.022957,0.126881
Moonshine,Moonshine,,0.033106,0.065264
MINO(송민호),MINO(송민호),,0.058613,0.018731
AshleyAlisha,AshleyAlisha,,0.251168,0.0454
황현,황현,,0.037295,0.013457
AnnaTimgren,AnnaTimgren,,0.126894,0.040333
ChristofferLauridsen,ChristofferLauridsen,,0.115862,0.065264
청하,청하,,3.238279,0.153723
라비,라비,,0.013828,0.008166
O.R.O,O.R.O,,0.039353,0.019983
테일러,테일러,,0.0416,0.028553
Coko,Coko,,0.022957,0.126881
LudvigEversa.k.aMoonshine,LudvigEversa.k.aMoonshine,,0.615921,0.113966
ELLY,ELLY,,0.11353,0.003726
Nthonius,Nthonius,,0.162376,0.027426
투챔프,투챔프,,0.001841,0.003417
AndyLove,AndyLove,,0.279661,0.041452
Apink(에이핑크),Apink(에이핑크),,0.996076,0.057483
MatsKorayGenc,MatsKorayGenc,,0.041175,0.009168
Daniel'Obi'Klein,Daniel'Obi'Klein,,0.022807,0.126881
24,24,,0.698344,0.033012
신비(여자친구),신비(여자친구),,0.009519,0.044142
MELODESIGN,MELODESIGN,,0.01097,0.006726
Otha'Vakseen'DavisIII,Otha'Vakseen'DavisIII,,0.01392,0.065264
PaulineSkott,PaulineSkott,,0.052751,0.011548
BobiiLewis,BobiiLewis,,0.027281,0.126881
LauraBrian,LauraBrian,,0.020743,0.027751
크레파스,크레파스,,0.243042,0.015281
JINU(김진우),JINU(김진우),,0.0425,0.014822
G-DRAGON,G-DRAGON,,0.012121,0.003417
Fuxxy,Fuxxy,,0.080474,0.035241
보아,보아,,0.024536,0.003029
허찬,허찬,,0.017135,0.002746
ZigzagNote,ZigzagNote,,0.009669,0.003988
MR.강,MR.강,,0.001841,0.021684
CarolineAilin,CarolineAilin,,0,0
TheColleagues,TheColleagues,,0.01392,0.065264
BUMZU,BUMZU,,1.26844,0.032984
LaurenDyson,LaurenDyson,,0.213514,0.028659
갓츄(GOTU),갓츄(GOTU),,0.256704,0.019841
SeanAlexander,SeanAlexander,,0.372263,0.069203
Harloe,Harloe,,0.352122,0.022257
현아,현아,,0.185678,0.016881
MGR,MGR,,0.149095,0.028553
HAE,HAE,,0.010625,0.004877
SamanthaHarper,SamanthaHarper,,0.049393,0.020205
KristoferKarlsson,KristoferKarlsson,,0.086359,0.021684
이창현,이창현,,0.013641,0.004058
RonnySvendsen,RonnySvendsen,,0.071199,0.011011
SEION,SEION,,0.013481,0.010701
원더키드,원더키드,,0.121088,0.030142
SpaceOne,SpaceOne,,0.04642,0.005092
LDNNoise,LDNNoise,,0.279516,0.164444
GeoffreyMcCray,GeoffreyMcCray,,0.019343,0.021808
Vincenzo,Vincenzo,,0.080474,0.035241
서재우,서재우,,0.008159,0.028553
그루비룸,그루비룸,,0.440222,0.012921
스페이스카우보이,스페이스카우보이,,0.037563,0.008418
NasiaJones,NasiaJones,,0.019343,0.021808
HyukShin,HyukShin,,0.135287,0.154632
로이도,로이도,,0.083795,0.019983
EllenBerg,EllenBerg,,0.139029,0.017649
이해솔,이해솔,,0.139029,0.017649
GATO,GATO,,0.163625,0.026823
이하이,이하이,,0.748089,0.017471
주태영,주태영,,0.008828,0.004518
JoeLawrence,JoeLawrence,,0.216367,0.027751
AndreasOberg,AndreasOberg,,0.018516,0.004382
NODAY,NODAY,,0.013659,0.016853
AshtonFoster,AshtonFoster,,0.049393,0.020205
DavidAmber,DavidAmber,,0.492398,0.041452
BenjaminIngrosso,BenjaminIngrosso,,0.032082,0.136302
SFRM,SFRM,,0.01873,0.005987
웅킴,웅킴,,0.428063,0.044641
nomad,nomad,,0.089044,0.005987
KZ,KZ,,0.130027,0.027426
진리,진리,,0.030935,0.01958
정윤,정윤,,0.11214,0.027751
HautboiRich,HautboiRich,,0.023025,0.126881
Off,Off,,0.004462,0.008496
BekuhBOOM,BekuhBOOM,,0.307823,0.028167
NathaliaMarshall,NathaliaMarshall,,0.01039,0.005655
NCTDREAM,NCTDREAM,,0.242993,0.090309
소녀시대-태티서(Girls'Generation-TTS),소녀시대-태티서(Girls'Generation-TTS),,0.074065,0.01163
VICTON(빅톤),VICTON(빅톤),,0.03427,0.004962
은하(EUNHA),은하(EUNHA),,0.020743,0.01119
KylerNiko,KylerNiko,,0.000467,0.004745
문스톤,문스톤,,0.004462,0.003312
이근호,이근호,,0.041112,0.006704
BrianLee,BrianLee,,0.154102,0.009427
FlowBlow,FlowBlow,,0.365925,0.040376
IU,IU,,0.134663,0.009425
KrystaYoungs,KrystaYoungs,,0.005298,0.027751
라이언전,라이언전,,0.132488,0.14015
RedVelvet(레드벨벳),RedVelvet(레드벨벳),,4.673494,0.467184
RayMichaelDjanJr,RayMichaelDjanJr,,0.049393,0.020205
아이오아이(I.O.I),아이오아이(I.O.I),,0.029007,0.011784
모모랜드(MOMOLAND),모모랜드(MOMOLAND),,0.958562,0.007766
AaronBenward,AaronBenward,,0.005047,0.028553
슬기(SEULGI),슬기(SEULGI),,0.009519,0.044142
MarcoBorrero,MarcoBorrero,,0.009197,0.009421
AllenGordonJr,AllenGordonJr,,0.022957,0.126881
CLC,CLC,,0.008074,0.006897
NickMcKerl,NickMcKerl,,0.009197,0.008357
MatthewTishler,MatthewTishler,,0.005047,0.028553
김진환,김진환,,0,0
WINNER,WINNER,,2.38332,0.043568
NerminHarambasic,NerminHarambasic,,0.041175,0.009168
JacksonFoote,JacksonFoote,,0.018298,0.008496
