Id,Label,timeset,Weighted Degree,eigencentrality
진,진,,0.042412,0.064554
빅싼초,빅싼초,,0.064359,0.010551
LaurenDyson,LaurenDyson,,0.033386,0.077218
FabianTorsson,FabianTorsson,,0.008933,0.045591
NoisyCitizen,NoisyCitizen,,0.062404,0.04979
MZMC,MZMC,,0.006474,0.018329
AlexJiaLihHiew,AlexJiaLihHiew,,0.065379,0.142754
Yuth,Yuth,,0.023603,0.004362
Clam,Clam,,0.023603,0.004362
SamKlempner,SamKlempner,,0.002914,0.046887
Holly,Holly,,0.005023,0.003154
청하,청하,,0.95932,0.4636
blackedition,blackedition,,0.004142,0.04979
JamesAbrahart,JamesAbrahart,,0.057358,0.046887
비오,비오,,0.174584,0.038872
서동환,서동환,,0.006551,0.008161
JessCorazza,JessCorazza,,0.02323,0.088821
Anne-Marie,Anne-Marie,,0.029791,0.138386
조슈아,조슈아,,0.04481,0.032389
태연(TAEYEON),태연(TAEYEON),,0.524781,0.179718
Tiyon'TC'Mack,Tiyon'TC'Mack,,0.022063,0.013848
Shannon,Shannon,,0.018766,0.011749
ChristofferSemelius,ChristofferSemelius,,0.076068,0.032389
MajaKeuc,MajaKeuc,,0.012955,0.006039
신아녜스,신아녜스,,0.028745,0.014219
원슈타인),원슈타인),,0.592544,0.168484
밍지션,밍지션,,0.099036,0.133738
Andreas?berg,Andreas?berg,,0.021234,0.034368
TM,TM,,0.01605,0.008787
PaulinaCerrilla,PaulinaCerrilla,,0.062404,0.04979
방탄소년단,방탄소년단,,4.324237,0.400511
김건우,김건우,,0.353106,0.007221
모모랜드(MOMOLAND),모모랜드(MOMOLAND),,0.008883,0.032886
DavidGuetta,DavidGuetta,,0.185779,0.033287
박진영,박진영,,0.161911,0.057954
더보이즈(THEBOYZ),더보이즈(THEBOYZ),,0.128176,0.087454
SpaceOne,SpaceOne,,0.184676,0.014373
차쿤,차쿤,,0.326414,0.00797
RistoArmasAsikainen,RistoArmasAsikainen,,0.014301,0.088821
