Id,Label,timeset,Weighted Degree,eigencentrality
Beenzino,Beenzino,,0.123028,0.005421
sAewoo,sAewoo,,0.016469,0.058269
Slom,Slom,,0.018169,0.058269
Unsinkable,Unsinkable,,0.173517,0.141874
최자(Choiza),최자(Choiza),,0.318027,0.729239
sogumm,sogumm,,0.032688,0.010689
ZENETHEZILLA(제네더질라),ZENETHEZILLA(제네더질라),,0.094337,0.09113
Sojeso,Sojeso,,0.012907,0.039383
Choiza,Choiza,,0.067718,0.010588
COE,COE,,0.002121,0.004023
Tablo,Tablo,,0.420855,0.013475
싸이(PSY),싸이(PSY),,0.261316,0.004776
Neal,Neal,,0.005364,0.012844
레이나(Raina),레이나(Raina),,0.117372,0.004776
BLOO,BLOO,,0.068647,0.00214
SimonDominic,SimonDominic,,0.160544,0.080967
Ryo,Ryo,,0.035536,0.016999
MINO(송민호),MINO(송민호),,0.587016,0.006818
Megatone(13),Megatone(13),,0.023684,0.006846
HwaSa,HwaSa,,0.031717,0.044794
ROCKITPRODUCTIONS,ROCKITPRODUCTIONS,,0.068647,0.00214
